rowid,sku,producto,proveedor,marca,precio_sin_iva,pmp_sin_iva,ganancia_moneda_nacional,margen_porcentaje,stock_total
90371,2807200583,"GUITARRA ELÉCTRICA G2655T STRML CB JR DC ARCTC GRETSCH",FENDER,GRETSCH,9046.86207000,7826.35000000,1220.51207000,13.490998984579,2
89188,"44-KIT-CM INDIGO 60","DESCATALOGADO 2026 KIT CON 4 CABEZAS INDIGO 60W II ALIEN PRO","QUALITY LIGHTS","ALIEN PRO",8301.46552000,7080.46266667,1221.00285333,14.708280729328,3
87511,2910124527,"GUITARRA ELEC. JACKSON JS22 DKA, AH FB - MBL",FENDER,JACKSON,3878.44828000,2644.78000000,1233.66828000,31.808295249460,2
65777,4202190,"FLAUTA TRANSV. DO JUPITER NIQ.LLAV.ABIER",VEERKAMP,JUPITER,9528.21552000,8294.03000000,1234.18552000,12.952955539360,1
88580,982722,"ELIPSIS CC-215d, Concert 2x15, Celestion Procesado (con DSP-750)",SENSEY,ELIPSIS,13951.15517000,12713.85722000,1237.29795000,8.868784949512,4
87499,2910121557,"GUITARRA JACKSON ELEC. JS22 DKA. AH FB NATURAL OIL",FENDER,JACKSON,3878.44828000,2639.54200000,1238.90628000,31.943349261318,5
88941,2507210546,"GUITARRA ELÉCTRICA GRETSCH G5230T ELECTROMATIC JET",FENDER,GRETSCH,9589.38793000,8350.18000000,1239.20793000,12.922701000793,1
87829,ITBEHTD3MOAM,"SINTETIZADOR BEHRINGER MOD. TD-3-MO-AM",INOVAUDIO,BEHRINGER,4113.43103000,2872.92241000,1240.50862000,30.157515975174,1
90064,CUBE-STEX,"AMPLIFICADOR ESTÉREO BOSS",ROLAND,BOSS,9426.19828000,8184.65000000,1241.54828000,13.171251475096,2
88977,2910211585,"GUITARRA ELECTRICA JACKSON DINKY JS20 DKQ 2PT SERIE JS NEGRO TRANSPARENTE SOMBREADO",FENDER,JACKSON,5171.55172000,3928.93000000,1242.62172000,24.028024609991,1
87148,0379440505,"BAJO ELEC FENDER SQ 40 J BASS LRL GHW GPG OWT",FENDER,SQUIER,9271.82759000,8026.87000000,1244.95759000,13.427316005560,1
90370,2807200525,"GUITARRA G2655T STRML CBJR DC TROPICO GRETSCH",FENDER,GRETSCH,9073.48276000,7825.91000000,1247.57276000,13.749657028058,2
91007,2817100510,"GUITARRA GRETSCH G2655 STRML CB JR DC BLK",FENDER,GRETSCH,7832.75000000,6583.89000000,1248.86000000,15.944080942198,1
89175,02809,"DESCATALOGADO | BOCINA PRO MERCURY 15 MOD - BCN003 VAMAV","MASSIVE ELECTRONICA HOME",VAMAV,4016.45690000,2757.75860000,1258.69830000,31.338523762075,1
90821,"PL-PRO DMC","FURMAN PL-PRO-DMC ACONDICIONADOR DE CORRIENTE ELÉCTRICA CON LUCES Y VOLTÍMETRO",REPRESENTACIONES,FURMAN,9240.96552000,7978.10000000,1262.86552000,13.665947754775,2
88785,2919011576,"JS2 CB, AH FB - SN WHT",FENDER,JACKSON,5430.17241000,4167.26000000,1262.91241000,23.257316980843,1
91323,SGG21CE,"GUITARRA ELECT/ ACUSTICA SPRUCE--SAPELI SEGOVIA",LEMUS,SEGOVIA,3172.41000000,1903.50000000,1268.91000000,39.998297824052,1
